331,Albertson,Station,Track,Enclosure
94,Amityville,Station,Ground Floor,Ticket Office
333,Auburndale,Station,Track,Enclosure
93,Babylon,Capital Building,1st Floor,Office
44,Babylon,Capital Trailer,Ground Floor,Rack
68,Babylon,Deer Park Capital Trailer,Ground Floor,Rack
38,Babylon,Microwave Hut,Ground Floor,Comm. Room
40,Babylon,MofE Structure,Ground Floor,Rack
41,Babylon,Radio Shop,Ground Floor,Rack
26,Babylon,Signal Structure,Ground Floor,Telephone Closet
250,Babylon,Signal Structure,Ground Floor,Office
294,Babylon,State Storeroom,Ground Floor,Comm. Room
219,Babylon,Station,Ground Floor,Comm. Room
220,Babylon,Station,Ground Floor,Ticket Office
370,Babylon,Station,Platform A,Wheelhouse
214,Babylon,TC81,Ground Floor,Office
43,Babylon,Tower,Ground Floor,Rack,Babylon Tower
42,Babylon,Welfare,Ground Floor,Rack,
97,Baldwin,Station,Ground Floor,Ticket Office,
359,Bayshore,Station,2nd Floor,Office,
98,Bayshore,Station,Ground Floor,Ticket Office,
101,Bayside,Station,Basement,Ticket Office,
100,Bayside,Station,Ground Floor,Telephone Closet,
102,Bayside,Station,Ground Floor,Ticket Office,
96,Bell Atlantic,Frame Relay,Ground Floor,Comm. Room,
105,Bellerose,Station,Ground Floor,Ticket Office,
103,Bellmore,Station,Ground Floor,Ticket Office,
382,Bethpage,Facility,1st Floor,Training,
201,Bethpage,Facility,Ground Floor,Comm. Room,
47,Bethpage,Station,Ground Floor,Rack,
150,Brentwood,Station,Ground Floor,Ticket Office,
155,Broadway,Station,Ground Floor,Ticket Office,
360,Brooklyn,Station,1st Floor,Solari Room,
61,Brooklyn,Tower,Ground Floor,Rack,Brook Tower
284,Brooklyn,Yard,MofE,Trailer,
332,Carle Place,Station,Track,Enclosure,
151,Cedarhurst,Station,Ground Floor,Ticket Office,
299,Central Islip,Police,Ground Floor,Office,
152,Central Islip,Station,Ground Floor,Ticket Office,
328,Centre Ave,Station,Track,Enclosure,
167,Cold Spring Harbor,Station,Ground Floor,Ticket Office,
171,Copaigue,Station,Ground Floor,Ticket Office,
329,Country Life Press,Station,Track,Enclosure,
71,Deer Park,Comm Building,Ground Floor,Rack,
168,Deer Park,Station,Ground Floor,Ticket Office,
169,Douglaston,Station,Ground Floor,Ticket Office,
54,Jamaica,Dunton Tower,Ground Floor,Rack,Dunton Tower
173,East Hampton,Station,Ground Floor,Ticket Office,
344,East New York,Station,Ground Floor,Enclosure,
327,East Rockaway,Station,Track,Enclosure,
176,East Williston,Station,Ground Floor,Ticket Office,
178,Far Rockaway,Station,Ground Floor,Ticket Office,
177,Farmingdale,Station,Ground Floor,Ticket Office,
287,Flatbush,Hansen Place,26th,Comm. Room,
181,Flatbush,Station,Ground Floor,Ticket Office,
286,Flatbush,Yard,Ground Floor,Rack,VD Yard
179,Floral Park,Station,Ground Floor,Ticket Office,
