hsfreloadrib,172.17.26.145
LIRR-006rib,172.17.11.99
LIRR-009rib,172.17.11.52
LIRR-019rib,172.17.11.24
LIRR-059rib,172.17.11.34
LIRR-103rib,172.17.63.4
LIRR-202rib,172.17.93.128
LIRR-303rib,172.17.93.9
LIRR-602rib,172.19.37.130
LIRR-702rib,172.17.58.2
LIRR-703rib,172.17.103.2
LIRR-710rib,172.19.44.129
LIRR-712rib,172.17.105.2
LIRR-803rib,172.17.75.11
LIRR-804rib,172.19.35.130
LIRR-AD001rib,172.17.11.21
LIRR-AD501rib,172.17.26.44
LIRR-CTX019rib,172.17.11.32
LIRR-NT001rib,172.17.11.36
RSCSADMINrib,172.17.11.45
act-hsfrib,172.17.26.101
act-t2000rib,172.17.11.145
actprodrib,172.17.11.144
actuateqarib,172.17.26.119
arcgis-hmcrib,172.17.26.56
arcgis-jamrib,172.17.11.62
artimusrib,172.17.26.132
avlm-hmcrib,172.17.26.51
avlm-jamrib,172.17.11.48
axapta-drrib,172.17.26.52
axaptarib,172.17.26.34
bruteus490rib,172.17.11.198
callrecrib,172.17.11.11
camsprdhsfweb1rib,172.17.26.146
camsprdjamweb1rib,172.17.11.248
citrixaachmcrib,172.17.26.73
citrixaacjamrib,172.17.11.64
citrixweb2rib,172.17.11.23
citrixwebrib,172.17.26.8
consvr-testrib,172.17.26.41
consvrib,172.17.11.127
cscsprodrib,172.17.11.194
cssdevdcrib,172.17.26.81
cssdrpdcrib,172.17.11.13
csssupportrib,172.17.11.7
ctamprdssrsrib,172.17.11.130
ctamprdweb1rib,172.17.11.131
ctamprdweb2rib,172.17.11.132
ctamprdweb3rib,172.17.11.133
ctamprdweb4rib,172.17.11.134
ctamprdweb5rib,172.17.11.128
ctamprdwebadm1rib,172.17.11.135
ctamprdwebadm2rib,172.17.11.136
ctamprdwebadm3rib,172.17.11.137
cust-web2rib,172.17.11.31
cust-web3rib,172.17.11.17
depotrib,172.17.26.123
dwapp1rib,172.17.11.15
dwinfrarib,172.17.11.16
esxhsf1-ilo,172.17.26.40
esxhsf2-ilo,172.17.26.38
esxhsf3-ilo,172.17.26.39
esxhsfcam1rib,172.17.26.143
esxhsfcam1rib,172.17.26.143
esxhsfcam2rib,172.17.26.144
esxhsfcam2rib,172.17.26.144
esxhsfctam1rib,172.17.26.99
esxhsfctam2rib,172.17.26.100
esxjam1rib,172.17.11.65
esxjam2rib,172.17.11.66
esxjam3rib,172.17.11.63
esxjam4rib,172.17.11.88
esxjam5rib,172.17.11.89
esxjam6rib,172.17.11.116
