2,231,1,2586,CAN 8600 VRRP
4,231,2,2588,CAN TSM VRRP
7,160,1,2599,Penn TSM LAN VRRP
10,634,1,4423,iASF-App
11,634,100,4428,mailandride
12,634,101,4429,schedules & fares
14,635,1,4744,iASF-Mgmt
15,634,2,4755,SLB
16,635,2,4756,SLB
17,634,4,4761,MxTreme
19,677,1,4954,App3 Router
20,626,1,5002,iASF-Public
21,626,2,5003,IBR_Virtual
22,693,1,5070,8600 VRRP
23,693,5,5075,Internet ASF VRRP
24,694,1,5076,8600 MTA Exit VRRP
25,694,5,5077,MTA ASF VRRP
26,698,1,5167,CAN SF Router
27,308,24,7092,8600 Cluster
28,234,17,7115,8600 Cluster
29,400,24,7117,8600 Cluster
30,777,1,7139,SLB Cluster
31,701,10,7142,SLB Cluster
32,701,52,7145,NSF Cluster
33,634,11,7148,SLB Cluster
34,777,70,7166,TAS-Internet
35,777,80,7167,TAS-Admin
36,777,90,7168,TAS-Internal
38,634,85,7496,LIRR-CAG-vip
39,777,105,7546,Send Advisory
41,777,110,7548,Employee
42,777,115,7549,Spider
43,159,1,7558,CSS Gateway
44,634,120,7908,sas
45,777,120,7975,sas-mxtreme
46,819,10,7978,sas-mxtreme-internal
47,626,62,7979,Internet Link Load Balancer
48,819,20,7984,Proxy
49,231,50,7988,Internal SLB
50,819,1,7991,Internal SLB
51,819,25,8234,sas-vip
52,819,30,8235,lostandfound-vip
53,819,35,8236,irs-vip
54,819,40,8237,tsdc-vip
55,819,45,8238,w3a-vip
56,819,50,8241,w3-vip
57,777,75,8408,TASQA-Customer
58,777,85,8409,TASQA-Admin
